Season,Week,Running_Order,Celebrity,Ballroom_Partner,Couple,Dance_Style,Weekly_Bottom_Two_Status
24,3,9,Erika & Gleb,,Erika & Gleb,Jive,Safe
24,3,10,Rashad & Emma,,Rashad & Emma,Samba,Safe
24,3,11,Normani & Val,,Normani & Val,Foxtrot,Safe
24,4,1,Normani & Val,,Normani & Val,Rumba,Safe
24,4,2,Nick & Peta,,Nick & Peta,Rumba,Safe
24,4,3,Nancy & Artem,,Nancy & Artem,Foxtrot,Safe
24,4,4,Mr. T & Kym,,Mr. T & Kym,Waltz,Eliminated
24,4,5,Heather & Alan,,Heather & Alan,Cha-cha-cha,Safe
24,4,6,David & Lindsay,,David & Lindsay,Viennese waltz,Safe
24,4,7,Rashad & Emma,,Rashad & Emma,Contemporary,Safe
24,4,8,Erika & Gleb,,Erika & Gleb,Cha-cha-cha,Safe
24,4,9,Simone & Sasha,,Simone & Sasha,Viennese waltz,Safe
24,4,10,Bonner & Sharna,,Bonner & Sharna,Foxtrot,Safe
24,5,1,Rashad & Emma,,Rashad & Emma,Foxtrot,Safe
24,5,2,Nick & Peta,,Nick & Peta,Jazz,Safe
24,5,3,Erika & Gleb,,Erika & Gleb,Viennese waltz,Eliminated
24,5,4,Heather & Alan,,Heather & Alan,Jazz,Safe
24,5,5,Bonner & Sharna,,Bonner & Sharna,Tango,Safe
24,5,6,Normani & Val,,Normani & Val,Paso doble,Safe
24,5,7,David & Lindsay,,David & Lindsay,Jive,Safe
24,5,8,Nancy & Artem,,Nancy & Artem,Jazz,Safe
24,5,9,Simone & Sasha,,Simone & Sasha,Contemporary,Safe
24,6,1,Simone & Sasha,,Simone & Sasha,Samba,Safe
24,6,2,Bonner & Sharna,,Bonner & Sharna,Rumba,Safe
24,6,3,Nancy & Artem,,Nancy & Artem,Paso doble,Safe
24,6,4,Nick & Peta,,Nick & Peta,Jive,Safe
24,6,5,Normani & Val,,Normani & Val,Salsa,Safe
24,6,6,David & Lindsay,,David & Lindsay,Argentine tango,Safe
24,6,7,Rashad & Emma,,Rashad & Emma,Tango,Safe
24,6,8,Heather & Maks,,Heather & Maks,Rumba,Eliminated
24,6,9,Bonner & Sharna,David & Lindsay,Bonner & Sharna / David & Lindsay / Nick & Peta / Rashad & Emma,Freestyle (Team Boy Band),Eliminated
24,6,10,Heather & Maks,Nancy & Artem,Heather & Maks / Nancy & Artem / Normani & Val / Simone & Sasha,Freestyle (Team Girl Group),Eliminated
24,7,1,Bonner & Sharna,,Bonner & Sharna,Paso doble,Safe
24,7,2,Nancy & Artem,,Nancy & Artem,Tango,Eliminated
24,7,3,Simone & Sasha,,Simone & Sasha,Charleston,Safe
24,7,4,Nick & Peta,,Nick & Peta,Argentine tango,Eliminated
24,7,5,Rashad & Emma,,Rashad & Emma,Paso doble,Safe
24,7,6,David & Lindsay,,David & Lindsay,Salsa,Safe
24,7,7,Normani & Val,,Normani & Val,Argentine tango,Immunity
24,7,1,Simone & Sasha,[,Simone & Sasha / [ / a / ],Cha-cha-cha,Winners
24,7,2,Nancy & Artem,,Nancy & Artem,Losers,Winners
24,7,3,Rashad & Emma,[,Rashad & Emma / [ / b / ],Jive,Winners
24,7,4,David & Lindsay,,David & Lindsay,Losers,Winners
24,7,5,Bonner & Sharna,[,Bonner & Sharna / [ / c / ],Rumba,Winners
24,7,6,Nick & Peta,[,Nick & Peta / [ / d / ],Losers,Winners
24,8,1,Rashad & Emma,,Rashad & Emma,Jive,Safe
24,8,1,Rashad & Emma,,Rashad & Emma,,Safe
24,8,2,Normani & Val,,Normani & Val,Contemporary,Safe
24,8,2,Normani & Val,,Normani & Val,,Safe
24,8,3,Bonner & Sharna,,Bonner & Sharna,Argentine tango,Eliminated
24,8,3,Bonner & Sharna,,Bonner & Sharna,,Eliminated
24,8,4,Simone & Sasha,,Simone & Sasha,Foxtrot,Safe
24,8,4,Simone & Sasha,,Simone & Sasha,,Safe
24,8,5,David & Lindsay,,David & Lindsay,Waltz,Safe
24,8,5,David & Lindsay,,David & Lindsay,,Safe
24,9,1,Normani & Val,,Normani & Val,Viennese waltz,Safe
24,9,1,Normani & Val,,Normani & Val,,Safe
24,9,2,David & Lindsay,,David & Lindsay,Foxtrot,Safe
24,9,2,David & Lindsay,,David & Lindsay,,Safe
24,9,3,Simone & Sasha,,Simone & Sasha,Jive,Eliminated
24,9,3,Simone & Sasha,,Simone & Sasha,,Eliminated
24,9,4,Rashad & Emma,,Rashad & Emma,Rumba,Safe
24,9,4,Rashad & Emma,,Rashad & Emma,,Safe
24,10,1,David & Lindsay,,David & Lindsay,Viennese waltz,
24,10,1,David & Lindsay,,David & Lindsay,,
24,10,2,Normani & Val,,Normani & Val,Quickstep,
24,10,2,Normani & Val,,Normani & Val,,
24,10,3,Rashad & Emma,,Rashad & Emma,Viennese waltz,
24,10,3,Rashad & Emma,,Rashad & Emma,,
24,10,1,David & Lindsay,,David & Lindsay,Foxtrot & Salsa,Runners-Up
24,10,2,Normani & Val,,Normani & Val,Argentine tango & Foxtrot,Third Place
24,10,3,Rashad & Emma,,Rashad & Emma,Cha-cha-cha & Tango,Winners
25,1,1,Terrell & Cheryl,,Terrell & Cheryl,Cha-cha-cha,
25,1,2,Debbie & Alan,,Debbie & Alan,Foxtrot,
25,1,3,Sasha & Gleb,,Sasha & Gleb,Cha-cha-cha,
25,1,4,Drew & Emma,,Drew & Emma,Foxtrot,
25,1,5,Barbara & Keo,,Barbara & Keo,Salsa,
25,1,6,Jordan & Lindsay,,Jordan & Lindsay,Tango,
25,1,7,Nick & Peta,,Nick & Peta,Cha-cha-cha,
25,1,8,Vanessa & Maks,,Vanessa & Maks,Cha-cha-cha,
25,1,9,Frankie & Witney,,Frankie & Witney,Foxtrot,
25,1,10,Nikki & Artem,,Nikki & Artem,Tango,
25,1,11,Derek & Sharna,,Derek & Sharna,Salsa,
25,1,12,Victoria & Val,,Victoria & Val,Cha-cha-cha,
25,1,13,Lindsey & Mark,,Lindsey & Mark,Cha-cha-cha,
25,2,1,Debbie & Alan,,Debbie & Alan,Quickstep,Safe
25,2,2,Nikki & Artem,,Nikki & Artem,Waltz,Safe
25,2,3,Lindsey & Mark,,Lindsey & Mark,Quickstep,Safe
25,2,4,Barbara & Keo,,Barbara & Keo,Tango,Eliminated
25,2,5,Nick & Peta,,Nick & Peta,Foxtrot,Safe
25,2,6,Drew & Emma,,Drew & Emma,Quickstep,Safe
25,2,7,Vanessa & Maks,,Vanessa & Maks,Foxtrot,Safe
25,2,8,Frankie & Witney,,Frankie & Witney,Tango,Safe
25,2,9,Terrell & Cheryl,,Terrell & Cheryl,Foxtrot,Safe
25,2,10,Sasha & Gleb,,Sasha & Gleb,Viennese waltz,Safe
25,2,11,Victoria & Val,,Victoria & Val,Tango,Safe
